depth_m,gassiness_degree,open_violations,days_since_last_inspection,ch4_pct,co_ppm,o2_pct,ventilation_velocity_ms,workers_count,equipment_faults,strata_stress_mpa,temp_c,humidity_pct,grahams_ratio,gas_dispersion_index,inspection_risk_factor,risk_level
154,1,4,16,0.04,15,20.3,0.65,38,1,31.26,31.6,78.7,2.5,0.062,11.43,Medium
278,2,0,36,0.72,4,20.5,0.89,35,5,18.24,30.4,74.1,1.0,0.809,5.14,Medium
472,1,2,14,0.25,3,20.7,2.28,53,0,38.14,23.2,58.4,1.5,0.11,6.0,Low
427,1,4,41,0.1,11,20.9,3.46,89,2,17.77,29.5,79.7,5.5,0.029,29.29,Medium
143,1,7,41,0.38,4,20.7,0.93,56,1,15.98,26.8,62.3,2.0,0.409,46.86,Medium
290,1,6,18,0.31,9,20.8,3.28,91,5,33.48,29.2,79.0,4.5,0.095,18.0,Medium
450,1,3,37,0.19,10,20.4,3.06,50,1,39.2,30.5,68.8,2.0,0.062,21.14,Low
591,1,9,28,0.2,3,20.8,0.87,84,3,24.09,26.7,89.9,1.5,0.23,40.0,Medium
203,2,6,39,1.12,4,20.4,0.72,18,3,23.77,27.0,89.9,0.8,1.556,39.0,Medium
589,2,12,42,0.86,20,20.9,3.12,53,0,20.8,25.8,60.5,10.0,0.276,78.0,Medium
559,3,10,20,1.27,10,19.9,2.11,91,4,38.28,29.9,60.3,1.0,0.602,31.43,High
154,3,12,20,1.62,18,20.7,2.27,40,0,11.74,25.1,74.9,9.0,0.714,37.14,High
168,1,7,36,0.37,8,20.7,1.78,31,2,33.34,28.9,76.2,4.0,0.208,41.14,Medium
422,1,8,29,0.1,9,20.3,2.92,25,1,30.67,24.9,66.8,1.5,0.034,37.29,Medium
100,1,0,22,0.06,20,20.6,1.2,19,4,13.64,25.1,78.4,6.667,0.05,3.14,Medium
524,3,3,7,1.61,22,18.6,2.99,22,5,30.31,27.6,69.8,0.957,0.538,4.0,High
151,1,3,35,0.37,16,20.8,3.47,67,1,15.77,27.5,64.7,8.0,0.107,20.0,Low
140,1,8,1,0.17,3,20.4,0.31,21,1,14.63,24.2,72.0,0.6,0.548,1.29,Medium
439,1,12,30,0.27,17,20.4,1.4,46,3,35.78,31.1,80.6,3.4,0.193,55.71,Medium
99,2,8,4,0.66,7,20.8,0.6,50,0,30.54,22.7,71.7,3.5,1.1,5.14,Medium
230,1,1,44,0.24,4,20.6,2.46,40,3,17.66,23.6,86.2,1.333,0.098,12.57,Low
575,1,4,14,0.26,16,20.5,3.08,95,5,23.52,26.1,64.3,4.0,0.084,10.0,Medium
114,1,9,37,0.15,4,20.8,1.67,22,0,12.03,29.0,72.7,2.0,0.09,52.86,Medium
201,1,8,46,0.27,19,20.5,2.75,48,4,23.72,34.8,83.2,4.75,0.098,59.14,Medium
177,1,1,48,0.09,10,20.6,1.23,80,1,27.65,25.5,76.2,3.333,0.073,13.71,Low
92,1,6,18,0.07,16,20.6,1.88,15,0,31.82,26.3,59.6,5.333,0.037,18.0,Medium
49,1,11,10,0.06,11,20.5,3.75,79,0,10.78,32.8,75.4,2.75,0.016,17.14,Medium
80,3,3,44,1.03,29,20.6,1.18,41,5,29.22,23.3,82.3,9.667,0.873,25.14,High
206,3,12,12,1.04,41,19.1,3.21,62,0,29.93,24.3,87.4,2.278,0.324,22.29,High
150,1,0,31,0.32,9,20.4,2.74,38,1,17.07,32.6,71.1,1.8,0.117,4.43,Low
448,1,1,50,0.22,2,20.4,3.89,45,2,40.75,30.3,69.0,0.4,0.057,14.29,Low
222,2,4,3,0.74,36,19.6,3.63,23,4,19.08,27.6,80.5,2.769,0.204,2.14,Medium
234,1,11,28,0.3,8,20.5,0.56,10,4,29.12,34.0,73.8,2.0,0.536,48.0,Medium
378,2,10,8,0.41,12,19.7,2.76,48,4,25.11,26.0,69.3,1.0,0.149,12.57,Medium
428,2,2,40,0.32,24,20.1,1.94,82,2,23.99,27.3,84.2,3.0,0.165,17.14,Medium
258,2,12,48,0.45,19,20.4,1.13,31,5,27.64,23.1,73.0,3.8,0.398,89.14,Medium
243,1,0,16,0.26,8,20.7,1.72,70,4,22.02,33.0,57.5,4.0,0.151,2.29,Low
449,1,10,45,0.28,16,20.3,1.22,10,0,36.52,32.1,62.7,2.667,0.23,70.71,Medium
164,2,12,30,1.04,36,20.0,3.66,95,4,32.9,34.8,75.8,4.0,0.284,55.71,High
496,3,11,31,1.7,72,19.9,1.32,67,2,25.06,31.8,84.4,7.2,1.288,53.14,High
119,2,3,18,0.5,13,20.5,0.54,52,2,12.59,33.6,57.8,3.25,0.926,10.29,Medium
457,1,7,27,0.38,2,20.8,3.13,17,1,35.9,32.8,68.6,1.0,0.121,30.86,Medium
429,2,5,20,1.04,35,19.7,1.91,59,3,35.92,29.0,80.7,2.917,0.545,17.14,High
69,1,10,44,0.25,2,20.8,2.49,61,5,10.79,24.1,71.4,1.0,0.1,69.14,Medium
67,1,6,9,0.14,14,20.5,3.82,69,1,12.75,22.7,68.3,3.5,0.037,9.0,Medium
471,1,1,31,0.26,3,20.8,3.81,12,5,26.17,29.0,90.0,1.5,0.068,8.86,Low
244,3,9,10,1.14,42,20.3,0.92,40,1,34.85,28.2,59.0,7.0,1.239,14.29,High
661,3,11,8,1.52,58,19.4,2.95,30,2,30.01,23.4,55.9,3.867,0.515,13.71,High
117,2,10,16,0.23,40,20.6,1.58,23,5,23.33,32.0,84.8,13.333,0.146,25.14,Medium
478,2,1,33,0.56,27,20.4,3.37,92,2,29.71,22.2,69.7,5.4,0.166,9.43,Medium
196,1,11,34,0.19,20,20.5,3.45,93,2,29.49,30.0,87.2,5.0,0.055,58.29,Medium
128,1,7,16,0.34,7,20.6,1.61,69,4,9.89,29.9,68.3,2.333,0.211,18.29,Medium
304,1,9,45,0.29,17,20.6,1.19,45,4,15.65,22.1,88.2,5.667,0.244,64.29,Medium
527,2,7,29,0.8,27,20.1,2.26,12,0,25.01,25.8,69.2,3.375,0.354,33.14,Medium
475,3,8,22,1.6,50,18.8,2.28,55,5,23.41,27.9,65.7,2.381,0.702,28.29,High
229,1,11,31,0.39,8,20.5,1.64,45,5,26.05,29.7,81.6,2.0,0.238,53.14,Medium
349,1,8,9,0.06,17,20.4,0.35,45,0,31.46,34.7,74.4,3.4,0.171,11.57,Medium
331,2,7,22,0.17,35,19.5,2.63,33,0,17.01,25.3,85.2,2.5,0.065,25.14,Medium
94,1,12,37,0.25,9,20.8,1.71,48,0,26.7,34.9,59.1,4.5,0.146,68.71,Medium
493,1,9,28,0.38,8,20.7,1.28,49,4,36.09,30.1,76.3,4.0,0.297,40.0,Medium
123,1,2,36,0.12,9,20.5,1.35,19,1,23.33,22.0,70.8,2.25,0.089,15.43,Low
504,1,3,17,0.22,6,20.8,3.36,90,4,28.8,30.6,87.7,3.0,0.065,9.71,Low
113,1,12,20,0.19,11,20.7,3.79,86,5,19.36,32.7,87.2,5.5,0.05,37.14,Medium
552,2,7,6,0.13,18,20.8,3.39,86,0,34.29,33.6,80.7,9.0,0.038,6.86,Medium
629,2,0,49,0.64,32,20.8,0.97,96,2,25.93,29.5,81.7,16.0,0.66,7.0,Medium
639,1,7,6,0.07,15,20.7,1.37,70,2,24.49,27.3,66.2,7.5,0.051,6.86,Medium
450,3,8,3,1.03,75,20.4,0.3,68,0,40.53,26.1,66.3,15.0,3.433,3.86,High
595,2,0,13,0.15,21,20.2,3.73,76,2,31.48,30.1,72.4,3.0,0.04,1.86,Medium
488,3,7,8,1.29,62,18.7,3.97,13,5,22.0,29.9,63.4,2.818,0.325,9.14,High
156,2,1,42,0.54,34,20.9,1.2,29,3,26.83,34.1,65.2,17.0,0.45,12.0,Medium
604,1,3,39,0.32,15,20.5,3.21,75,5,27.73,33.4,85.2,3.75,0.1,22.29,Low
313,3,4,47,1.1,71,19.3,2.34,48,4,34.59,29.5,78.1,4.438,0.47,33.57,High
596,1,5,13,0.03,17,20.7,3.3,99,1,39.51,29.4,63.2,8.5,0.009,11.14,Medium
435,3,12,42,0.9,22,20.5,1.93,29,3,40.04,34.5,59.4,5.5,0.466,78.0,High
578,3,0,47,1.71,43,19.3,2.86,28,3,22.25,33.3,88.9,2.688,0.598,6.71,High
122,3,10,35,1.27,18,19.0,2.83,58,2,20.76,30.1,86.1,0.947,0.449,55.0,High
334,3,11,6,0.6,48,20.6,0.47,65,0,16.76,31.9,79.6,16.0,1.277,10.29,High
97,1,5,28,0.08,4,20.7,1.72,28,1,27.45,28.9,74.8,2.0,0.047,24.0,Medium
286,2,9,10,1.04,33,20.8,2.81,39,3,29.15,30.3,71.1,16.5,0.37,14.29,High
201,1,5,38,0.13,14,20.8,0.69,48,5,21.99,34.5,79.2,7.0,0.188,32.57,Medium
430,2,9,19,0.11,7,20.8,3.06,99,2,26.25,22.3,84.1,3.5,0.036,27.14,Medium
333,2,3,39,0.86,12,20.3,3.64,55,1,30.59,30.3,76.7,2.0,0.236,22.29,Medium
80,1,7,3,0.3,7,20.4,3.21,84,2,15.08,31.5,58.2,1.4,0.093,3.43,Medium
414,2,4,11,0.94,33,20.8,0.82,42,3,37.24,34.6,65.3,16.5,1.146,7.86,Medium
271,3,11,44,1.27,68,19.3,3.07,60,4,13.11,26.8,82.7,4.25,0.414,75.43,High
308,2,10,24,0.69,18,20.4,2.65,23,5,34.92,25.0,55.9,3.6,0.26,37.71,Medium
515,3,4,42,1.19,22,19.0,2.29,62,0,26.18,23.8,88.1,1.158,0.52,30.0,High
437,2,10,48,0.54,10,20.7,2.58,99,4,20.63,27.4,81.0,5.0,0.209,75.43,Medium
326,1,5,14,0.28,19,20.8,2.69,66,3,16.53,34.4,84.9,9.5,0.104,12.0,Medium
102,1,3,8,0.02,12,20.4,0.77,68,0,22.88,30.6,77.5,2.4,0.026,4.57,Low
618,1,12,36,0.07,2,20.5,3.94,36,4,29.34,24.8,85.4,0.5,0.018,66.86,Medium
173,2,12,12,0.93,24,19.4,1.28,24,5,18.92,33.3,59.6,1.6,0.727,22.29,High
169,2,8,8,0.57,18,20.8,0.46,18,3,24.47,27.8,67.7,9.0,1.239,10.29,Medium
573,1,10,2,0.29,16,20.3,0.6,17,3,22.92,33.0,69.9,2.667,0.483,3.14,Medium
662,1,2,18,0.24,11,20.6,2.54,89,5,31.69,29.6,79.9,3.667,0.094,7.71,Low
141,2,1,42,0.34,25,20.6,1.78,93,4,20.36,31.4,62.5,8.333,0.191,12.0,Medium
137,1,5,43,0.05,4,20.4,0.66,42,2,20.81,34.4,79.0,0.8,0.076,36.86,Medium
421,3,8,4,1.87,64,20.5,2.97,85,4,26.38,29.3,78.5,16.0,0.63,5.14,High
334,2,5,7,0.21,39,20.0,3.12,83,4,19.73,24.8,78.0,4.333,0.067,6.0,Medium
627,1,6,36,0.27,10,20.3,1.31,89,4,36.29,30.8,74.5,1.667,0.206,36.0,Medium
356,3,5,1,1.44,13,18.7,2.26,33,1,18.3,29.4,69.0,0.591,0.637,0.86,High
425,1,5,11,0.04,3,20.4,3.09,57,2,30.25,31.4,82.2,0.6,0.013,9.43,Medium
90,2,4,29,0.89,11,19.9,0.71,94,3,14.81,28.3,70.5,1.1,1.254,20.71,Medium
647,2,10,20,0.42,17,20.6,3.13,15,1,22.36,27.1,76.0,5.667,0.134,31.43,Medium
336,1,0,32,0.23,13,20.3,3.49,65,1,19.92,23.7,73.6,2.167,0.066,4.57,Low
83,1,7,5,0.12,14,20.3,1.5,50,4,23.44,27.6,69.2,2.333,0.08,5.71,Medium
672,2,11,24,0.65,29,20.7,3.06,21,3,36.93,33.0,63.5,14.5,0.212,41.14,Medium
266,1,2,5,0.15,6,20.4,0.84,75,5,34.39,23.5,72.8,1.2,0.179,2.14,Low
242,1,2,49,0.3,20,20.6,3.72,93,0,23.91,24.3,82.0,6.667,0.081,21.0,Medium
618,2,9,21,0.42,21,20.3,1.6,90,2,32.06,24.0,57.4,3.5,0.262,30.0,Medium
115,1,7,3,0.34,18,20.5,2.45,17,2,29.62,32.8,57.7,4.5,0.139,3.43,Medium
82,1,12,37,0.03,5,20.8,3.4,93,1,11.67,26.2,71.6,2.5,0.009,68.71,Medium
126,2,2,3,0.27,27,20.8,1.73,41,5,21.7,27.7,70.4,13.5,0.156,1.29,Medium
386,2,0,41,0.4,13,19.9,2.46,92,2,31.93,22.9,58.3,1.3,0.163,5.86,Low
184,3,4,42,0.86,58,20.0,1.52,99,5,33.11,27.1,75.8,6.444,0.566,30.0,High
170,2,11,44,0.48,15,20.8,1.56,77,0,18.93,30.4,69.8,7.5,0.308,75.43,Medium
537,1,2,10,0.34,18,20.3,1.55,19,2,37.93,33.0,58.5,3.0,0.219,4.29,Medium
672,1,6,10,0.07,16,20.3,1.65,30,1,42.22,32.8,82.0,2.667,0.042,10.0,Medium
283,3,9,19,1.14,34,19.3,3.8,67,1,32.48,28.9,65.8,2.125,0.3,27.14,High
491,2,4,50,0.94,12,20.7,0.49,58,4,37.88,28.9,88.8,6.0,1.918,35.71,Medium
532,3,8,7,1.93,28,20.4,0.64,76,0,25.85,25.7,81.7,5.6,3.016,9.0,High
267,3,5,2,0.45,38,18.6,3.74,63,0,21.94,27.2,68.1,1.652,0.12,1.71,Medium
383,2,2,3,0.57,4,20.8,0.37,46,3,32.51,31.0,59.9,2.0,1.541,1.29,High
260,3,8,47,0.52,40,19.5,3.24,87,4,18.2,27.5,82.2,2.857,0.16,60.43,Medium
508,1,7,39,0.12,2,20.7,1.19,78,0,35.95,30.2,75.1,1.0,0.101,44.57,Medium
466,1,10,6,0.4,19,20.3,3.53,77,2,29.83,22.9,73.4,3.167,0.113,9.43,Medium
84,2,5,17,0.76,25,19.6,1.6,12,2,25.69,32.3,67.1,1.923,0.475,14.57,Medium
386,3,2,50,0.54,68,18.6,1.05,97,3,20.02,34.8,71.7,2.957,0.514,21.43,High
244,3,5,20,1.66,34,19.2,3.49,75,3,18.18,34.9,74.0,2.0,0.476,17.14,High
88,3,5,18,2.02,53,20.7,2.14,25,2,18.75,27.7,69.0,26.5,0.944,15.43,High
549,1,12,34,0.33,19,20.5,0.68,44,0,34.18,31.5,57.8,4.75,0.485,63.14,Medium
375,2,4,29,0.14,26,20.3,1.91,87,5,23.81,27.5,79.1,4.333,0.073,20.71,Medium
98,1,10,26,0.07,16,20.3,0.55,56,4,31.32,32.4,78.8,2.667,0.127,40.86,Medium
415,1,9,3,0.31,20,20.4,1.66,87,1,25.3,30.8,88.2,4.0,0.187,4.29,Medium
361,2,3,8,0.22,20,20.5,1.09,13,5,36.95,24.4,73.1,5.0,0.202,4.57,Medium
666,1,7,13,0.18,4,20.8,3.88,25,1,44.22,33.1,70.8,2.0,0.046,14.86,Medium
367,2,11,5,0.85,15,20.6,2.18,80,4,18.96,25.8,65.5,5.0,0.39,8.57,Medium
164,3,12,9,1.75,26,19.9,0.62,40,3,18.95,22.3,74.4,2.6,2.823,16.71,High
356,1,11,47,0.06,12,20.7,1.96,71,4,28.7,27.3,69.3,6.0,0.031,80.57,Medium
569,1,12,36,0.37,3,20.8,2.22,91,4,30.61,24.4,88.8,1.5,0.167,66.86,Medium
351,1,5,46,0.04,8,20.7,2.34,38,2,21.59,34.3,73.2,4.0,0.017,39.43,Medium
168,2,9,35,0.28,25,20.7,2.39,21,4,24.14,30.3,75.7,12.5,0.117,50.0,Medium
69,1,10,50,0.26,17,20.8,2.32,83,2,17.72,30.5,81.8,8.5,0.112,78.57,Medium
349,2,12,44,0.54,33,19.7,2.54,61,2,18.52,27.9,79.1,2.75,0.213,81.71,Medium
360,3,5,47,0.87,69,18.8,1.96,54,3,28.48,23.7,68.0,3.286,0.444,40.29,High
184,1,4,25,0.14,20,20.7,1.0,88,3,14.43,25.2,85.3,10.0,0.14,17.86,Medium
203,2,8,30,0.58,19,19.7,1.61,73,2,20.51,28.5,58.2,1.583,0.36,38.57,Medium
91,1,9,42,0.06,10,20.7,3.13,96,3,10.85,25.7,55.3,5.0,0.019,60.0,Medium
414,1,0,37,0.19,19,20.5,3.96,81,1,25.62,26.7,65.1,4.75,0.048,5.29,Medium
665,1,1,26,0.24,14,20.6,0.47,57,2,26.09,29.3,67.8,4.667,0.511,7.43,Medium
180,2,12,31,1.08,24,19.6,3.97,76,3,13.85,23.9,86.3,1.846,0.272,57.57,High
346,2,8,33,0.49,11,20.9,2.46,78,3,34.23,31.2,65.5,5.5,0.199,42.43,Medium
67,2,4,42,0.65,28,19.6,2.82,84,4,19.21,25.0,56.8,2.154,0.23,30.0,Medium
72,2,11,8,0.31,36,20.6,3.71,34,0,17.71,27.7,69.7,12.0,0.084,13.71,Medium
103,2,8,14,1.1,33,20.8,1.57,81,2,17.62,35.0,71.7,16.5,0.701,18.0,High
402,2,11,44,0.39,23,19.7,3.9,92,5,39.03,25.4,71.9,1.917,0.1,75.43,Medium
344,2,11,14,1.08,21,19.8,2.42,98,5,28.05,28.4,71.8,1.909,0.446,24.0,High
596,1,6,23,0.37,10,20.7,1.09,28,2,22.8,22.5,88.4,5.0,0.339,23.0,Medium
591,1,8,45,0.03,18,20.4,1.16,44,1,26.52,23.4,80.9,3.6,0.026,57.86,Medium
142,1,11,31,0.37,15,20.7,3.56,22,5,22.76,32.0,55.2,7.5,0.104,53.14,Medium
