depth_m,gassiness_degree,open_violations,days_since_last_inspection,ch4_pct,co_ppm,ventilation_velocity_ms,workers_count,equipment_faults,risk_level
154,1,4,16,0.12,25,0.66,77,0,Medium
644,1,0,6,0.11,18,2.41,79,1,Low
598,1,7,38,0.14,2,2.96,28,5,High
472,1,2,14,0.43,12,0.66,56,0,Low
407,3,9,17,1.65,61,1.91,23,3,High
120,2,10,40,1.0,31,2.32,16,0,High
273,2,1,15,0.98,32,1.27,89,2,Medium
206,1,3,43,0.13,23,2.57,85,5,Medium
215,1,3,11,0.22,10,3.76,89,5,Medium
610,1,5,4,0.12,3,3.12,59,2,Low
107,1,9,21,0.11,17,1.68,90,3,Medium
186,1,3,36,0.25,25,2.35,82,3,High
410,1,2,33,0.23,26,0.46,22,1,High
203,2,6,39,0.26,32,2.39,67,4,High
297,3,0,44,1.54,58,3.4,42,5,High
388,1,6,11,0.22,25,3.37,41,4,High
222,1,1,41,0.15,22,2.08,33,1,Low
422,2,8,34,1.03,28,2.01,22,2,High
354,1,3,37,0.43,4,2.86,16,4,Medium
168,1,7,36,0.09,18,3.35,62,1,Medium
592,2,11,13,0.84,33,3.78,91,2,High
488,3,7,8,0.92,19,1.48,83,4,High
275,2,0,5,0.84,11,1.1,12,2,Low
112,1,4,43,0.23,19,0.76,81,4,High
524,1,7,27,0.1,5,2.61,53,3,High
460,1,11,4,0.31,22,0.64,59,5,High
387,3,1,16,0.85,49,1.87,62,1,High
325,1,1,29,0.37,19,0.64,91,4,Medium
55,3,12,16,0.82,46,1.98,59,0,High
208,1,6,17,0.42,27,1.89,62,5,High
609,2,7,10,0.37,21,3.69,82,5,High
595,1,5,4,0.04,17,2.06,75,1,Low
98,3,1,12,0.69,19,2.66,38,3,Low
162,3,9,16,1.35,17,2.47,61,5,High
637,2,5,17,0.38,28,1.14,58,1,Medium
347,1,12,5,0.02,21,3.79,20,0,Medium
590,1,4,9,0.42,4,3.38,55,2,Low
201,1,8,20,0.28,27,2.59,9,5,High
607,1,10,7,0.42,6,1.23,21,5,High
606,1,4,39,0.11,12,1.01,89,2,Medium
557,1,0,6,0.29,28,1.27,8,2,Medium
173,2,4,11,0.87,43,2.77,79,0,Medium
154,1,11,10,0.25,28,1.59,78,1,Medium
480,1,4,24,0.41,27,3.7,13,2,Medium
255,2,10,7,0.52,43,3.39,60,4,High
198,3,3,11,1.87,66,0.92,60,0,High
223,2,5,27,0.92,23,1.23,21,3,High
79,3,3,13,1.66,44,1.52,37,1,High
64,2,6,22,0.45,12,3.68,43,2,Medium
561,1,8,22,0.42,5,3.37,41,1,Medium
634,3,4,3,0.74,42,1.51,48,3,High
563,1,9,13,0.13,24,1.83,74,4,High
241,1,1,43,0.42,21,1.4,23,5,Medium
347,1,10,27,0.16,24,1.33,24,1,Medium
470,2,6,44,0.87,19,2.45,46,3,High
601,3,4,19,0.87,65,2.33,91,2,High
516,1,10,14,0.24,27,3.45,29,5,High
126,1,10,41,0.29,4,3.16,38,5,High
357,1,3,10,0.03,9,3.74,86,0,Low
506,1,10,37,0.1,24,1.64,59,1,High
