timestamp,section_id,ch4_pct,co_ppm,co2_pct,air_velocity_ms,temperature_c,humidity_pct,dust_pm10_mg,is_anomaly,alert_msg
1716100000,SEC-WORKSHOP-3,0.06,12,0.17,1.03,34.5,74.1,82,0,NORMAL: Environmental telemetry within statutory parameters.
1716100120,SEC-PIT-A,0.04,7,0.27,1.76,32.1,67.7,124,0,NORMAL: Environmental telemetry within statutory parameters.
1716100240,SEC-PIT-A,0.13,10,0.38,2.32,26.0,81.0,97,0,NORMAL: Environmental telemetry within statutory parameters.
1716100360,SEC-MAGAZINE,0.04,3,0.26,2.51,32.5,84.4,125,0,NORMAL: Environmental telemetry within statutory parameters.
1716100480,SEC-UG-L1,0.47,6,0.1,2.33,27.6,84.0,42,0,NORMAL: Environmental telemetry within statutory parameters.
1716100600,SEC-UG-L3,0.14,22,0.3,1.6,33.8,68.9,121,0,NORMAL: Environmental telemetry within statutory parameters.
1716100720,SEC-UG-L1,0.34,14,0.23,3.06,28.8,78.7,86,0,NORMAL: Environmental telemetry within statutory parameters.
1716100840,SEC-PIT-A,0.54,57,0.52,0.56,26.3,74.2,205,1,WARNING: Elevated Carbon Monoxide (57 ppm) detected. Probable spontaneous heating.
1716100960,SEC-UG-L1,0.47,3,0.17,2.15,27.9,75.9,50,0,NORMAL: Environmental telemetry within statutory parameters.
1716101080,SEC-PIT-B,0.09,4,0.36,1.24,26.1,76.6,46,0,NORMAL: Environmental telemetry within statutory parameters.
1716101200,SEC-PIT-A,0.13,6,0.27,1.9,34.8,68.6,127,0,NORMAL: Environmental telemetry within statutory parameters.
1716101320,SEC-UG-L2,0.42,12,0.1,2.49,27.2,75.8,57,0,NORMAL: Environmental telemetry within statutory parameters.
1716101440,SEC-CRUSHER,0.06,6,0.13,1.51,29.1,62.6,124,0,NORMAL: Environmental telemetry within statutory parameters.
1716101560,SEC-CHP,0.08,11,0.21,2.31,24.4,83.4,56,0,NORMAL: Environmental telemetry within statutory parameters.
1716101680,SEC-CRUSHER,0.1,9,0.18,2.75,27.3,69.6,136,0,NORMAL: Environmental telemetry within statutory parameters.
1716101800,SEC-MAGAZINE,0.12,7,0.11,2.66,26.5,67.3,68,0,NORMAL: Environmental telemetry within statutory parameters.
1716101920,SEC-PIT-B,0.11,10,0.12,2.21,30.5,78.4,82,0,NORMAL: Environmental telemetry within statutory parameters.
1716102040,SEC-PIT-A,0.05,8,0.34,0.82,29.5,69.4,88,0,NORMAL: Environmental telemetry within statutory parameters.
1716102160,SEC-PIT-B,0.08,5,0.22,1.25,29.0,77.3,37,0,NORMAL: Environmental telemetry within statutory parameters.
1716102280,SEC-HAUL-RD,0.09,9,0.22,1.38,28.3,69.5,127,0,NORMAL: Environmental telemetry within statutory parameters.
1716102400,SEC-CRUSHER,0.15,6,0.31,2.96,25.2,71.9,99,0,NORMAL: Environmental telemetry within statutory parameters.
1716102520,SEC-UG-L3,0.24,3,0.13,1.2,34.2,87.0,73,0,NORMAL: Environmental telemetry within statutory parameters.
1716102640,SEC-MAGAZINE,0.15,5,0.12,1.6,35.2,68.7,41,0,NORMAL: Environmental telemetry within statutory parameters.
1716102760,SEC-UG-L1,0.27,8,0.22,2.38,34.2,68.4,60,0,NORMAL: Environmental telemetry within statutory parameters.
1716102880,SEC-PIT-B,0.13,9,0.11,1.39,30.4,81.7,122,0,NORMAL: Environmental telemetry within statutory parameters.
1716103000,SEC-PIT-A,0.08,10,0.24,1.75,34.5,78.7,62,0,NORMAL: Environmental telemetry within statutory parameters.
1716103120,SEC-WORKSHOP-3,0.12,4,0.2,1.56,28.6,69.2,52,0,NORMAL: Environmental telemetry within statutory parameters.
1716103240,SEC-UG-L3,0.41,16,0.26,2.08,29.6,80.7,79,0,NORMAL: Environmental telemetry within statutory parameters.
1716103360,SEC-HAUL-RD,0.56,75,0.65,1.15,31.0,81.0,50,1,WARNING: Elevated Carbon Monoxide (75 ppm) detected. Probable spontaneous heating.
1716103480,SEC-PIT-B,0.06,6,0.09,1.52,27.9,78.3,46,0,NORMAL: Environmental telemetry within statutory parameters.
1716103600,SEC-CRUSHER,0.07,10,0.09,3.1,26.1,71.2,88,0,NORMAL: Environmental telemetry within statutory parameters.
1716103720,SEC-MAGAZINE,0.09,4,0.18,2.56,33.9,82.5,118,0,NORMAL: Environmental telemetry within statutory parameters.
1716103840,SEC-PIT-A,0.05,11,0.2,1.89,31.5,78.8,97,0,NORMAL: Environmental telemetry within statutory parameters.
1716103960,SEC-CRUSHER,0.07,7,0.3,1.08,33.2,72.6,138,0,NORMAL: Environmental telemetry within statutory parameters.
1716104080,SEC-CHP,0.12,11,0.37,1.07,35.3,74.9,57,0,NORMAL: Environmental telemetry within statutory parameters.
1716104200,SEC-CRUSHER,0.05,3,0.18,3.04,27.0,74.4,110,0,NORMAL: Environmental telemetry within statutory parameters.
1716104320,SEC-HAUL-RD,0.09,3,0.22,0.9,29.3,61.4,97,0,NORMAL: Environmental telemetry within statutory parameters.
1716104440,SEC-HAUL-RD,0.07,8,0.28,2.64,30.2,65.0,38,0,NORMAL: Environmental telemetry within statutory parameters.
1716104560,SEC-CHP,0.09,7,0.27,2.23,32.4,74.9,80,0,NORMAL: Environmental telemetry within statutory parameters.
1716104680,SEC-CRUSHER,0.05,4,0.12,1.15,29.0,67.7,98,0,NORMAL: Environmental telemetry within statutory parameters.
1716104800,SEC-WORKSHOP-3,0.07,11,0.25,0.9,28.3,64.1,76,0,NORMAL: Environmental telemetry within statutory parameters.
1716104920,SEC-PIT-B,0.15,4,0.18,2.33,28.9,60.6,73,0,NORMAL: Environmental telemetry within statutory parameters.
1716105040,SEC-UG-L3,0.42,5,0.33,1.84,33.1,76.0,49,0,NORMAL: Environmental telemetry within statutory parameters.
1716105160,SEC-UG-L3,0.31,10,0.29,0.92,29.4,81.3,108,0,NORMAL: Environmental telemetry within statutory parameters.
1716105280,SEC-CRUSHER,0.12,5,0.16,2.41,28.6,65.1,112,0,NORMAL: Environmental telemetry within statutory parameters.
1716105400,SEC-UG-L3,0.25,3,0.31,2.38,27.1,76.8,70,0,NORMAL: Environmental telemetry within statutory parameters.
1716105520,SEC-CHP,0.06,8,0.15,2.27,32.2,83.2,128,0,NORMAL: Environmental telemetry within statutory parameters.
1716105640,SEC-HAUL-RD,0.11,11,0.2,3.03,27.9,68.9,36,0,NORMAL: Environmental telemetry within statutory parameters.
1716105760,SEC-WORKSHOP-3,0.13,10,0.14,2.47,28.5,71.3,121,0,NORMAL: Environmental telemetry within statutory parameters.
1716105880,SEC-HAUL-RD,0.11,11,0.38,1.0,35.3,70.3,130,0,NORMAL: Environmental telemetry within statutory parameters.
1716106000,SEC-UG-L3,0.27,17,0.09,2.3,31.2,75.8,56,0,NORMAL: Environmental telemetry within statutory parameters.
1716106120,SEC-CRUSHER,0.04,7,0.25,1.98,28.3,75.1,65,0,NORMAL: Environmental telemetry within statutory parameters.
1716106240,SEC-CRUSHER,0.13,4,0.2,1.31,30.6,65.0,49,0,NORMAL: Environmental telemetry within statutory parameters.
1716106360,SEC-UG-L1,0.54,15,0.25,1.64,28.8,76.8,62,0,NORMAL: Environmental telemetry within statutory parameters.
1716106480,SEC-CHP,0.11,8,0.23,2.08,33.9,73.9,63,0,NORMAL: Environmental telemetry within statutory parameters.
1716106600,SEC-WORKSHOP-3,0.14,5,0.36,1.23,24.0,83.2,71,0,NORMAL: Environmental telemetry within statutory parameters.
1716106720,SEC-WORKSHOP-3,0.12,4,0.2,2.37,28.7,77.8,88,0,NORMAL: Environmental telemetry within statutory parameters.
1716106840,SEC-HAUL-RD,0.11,11,0.38,2.24,28.7,60.6,128,0,NORMAL: Environmental telemetry within statutory parameters.
1716106960,SEC-HAUL-RD,0.1,10,0.29,3.08,32.5,84.7,37,0,NORMAL: Environmental telemetry within statutory parameters.
1716107080,SEC-CRUSHER,0.13,5,0.22,2.54,26.0,86.2,65,0,NORMAL: Environmental telemetry within statutory parameters.
1716107200,SEC-UG-L2,0.19,3,0.14,1.91,31.9,72.4,66,0,NORMAL: Environmental telemetry within statutory parameters.
1716107320,SEC-UG-L2,0.54,19,0.27,2.73,34.0,85.4,77,0,NORMAL: Environmental telemetry within statutory parameters.
1716107440,SEC-UG-L2,0.53,3,0.3,2.44,34.0,87.9,87,0,NORMAL: Environmental telemetry within statutory parameters.
1716107560,SEC-CRUSHER,0.39,8,0.31,2.21,32.2,72.3,753,1,ALERT: Airborne respirable dust concentration (753 mg/m³) exceeded DGMS permissible limits.
1716107680,SEC-PIT-A,0.08,3,0.19,2.52,31.2,72.3,100,0,NORMAL: Environmental telemetry within statutory parameters.
1716107800,SEC-PIT-B,0.13,12,0.31,1.07,28.2,78.4,56,0,NORMAL: Environmental telemetry within statutory parameters.
1716107920,SEC-UG-L1,0.45,9,0.16,1.59,24.9,85.2,123,0,NORMAL: Environmental telemetry within statutory parameters.
1716108040,SEC-WORKSHOP-3,0.12,8,0.17,1.87,29.2,67.2,135,0,NORMAL: Environmental telemetry within statutory parameters.
